2020-10-09 14:54:03,720 p=12382 u=student n=ansible | [WARNING]: Consider using 'become', 'become_method', and 'become_user' rather than running
sudo

2020-10-09 14:54:03,721 p=12382 u=student n=ansible | changed: [bchd]
2020-10-09 14:54:03,774 p=12382 u=student n=ansible | changed: [node-03]
2020-10-09 14:54:03,777 p=12382 u=student n=ansible | changed: [master-01]
2020-10-09 14:54:03,779 p=12382 u=student n=ansible | changed: [node-02]
2020-10-09 14:54:03,781 p=12382 u=student n=ansible | changed: [node-01]
2020-10-09 14:54:04,214 p=12382 u=student n=ansible | changed: [master-02]
2020-10-09 14:54:04,320 p=12382 u=student n=ansible | changed: [master-03]
2020-10-09 14:54:04,999 p=12382 u=student n=ansible |  ________________
< TASK [command] >
 ----------------
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||


2020-10-09 14:54:05,001 p=12382 u=student n=ansible | changed: [bchd]
2020-10-09 14:54:05,143 p=12382 u=student n=ansible | changed: [node-01]
2020-10-09 14:54:05,214 p=12382 u=student n=ansible | changed: [node-02]
2020-10-09 14:54:05,223 p=12382 u=student n=ansible | changed: [master-01]
2020-10-09 14:54:05,531 p=12382 u=student n=ansible | changed: [node-03]
2020-10-09 14:54:05,586 p=12382 u=student n=ansible | changed: [master-02]
2020-10-09 14:54:05,640 p=12382 u=student n=ansible | changed: [master-03]
2020-10-09 14:54:06,398 p=12382 u=student n=ansible |  ________________
< TASK [command] >
 ----------------
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||


2020-10-09 14:54:06,399 p=12382 u=student n=ansible | changed: [bchd]
2020-10-09 14:54:06,488 p=12382 u=student n=ansible | changed: [node-01]
2020-10-09 14:54:06,556 p=12382 u=student n=ansible | changed: [node-03]
2020-10-09 14:54:06,621 p=12382 u=student n=ansible | changed: [master-01]
2020-10-09 14:54:06,630 p=12382 u=student n=ansible | changed: [node-02]
2020-10-09 14:54:06,970 p=12382 u=student n=ansible | changed: [master-02]
2020-10-09 14:54:07,042 p=12382 u=student n=ansible | changed: [master-03]
2020-10-09 14:54:07,758 p=12382 u=student n=ansible |  __________________________________
< TASK [kubeadmteardown : command] >
 ----------------------------------
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||


2020-10-09 14:54:07,760 p=12382 u=student n=ansible | fatal: [bchd]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-09 14:54:07,760 p=12382 u=student n=ansible | ...ignoring
2020-10-09 14:54:07,790 p=12382 u=student n=ansible | fatal: [node-01]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-09 14:54:07,791 p=12382 u=student n=ansible | ...ignoring
2020-10-09 14:54:07,914 p=12382 u=student n=ansible | fatal: [node-02]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-09 14:54:07,914 p=12382 u=student n=ansible | ...ignoring
2020-10-09 14:54:07,974 p=12382 u=student n=ansible | fatal: [node-03]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-09 14:54:07,974 p=12382 u=student n=ansible | ...ignoring
2020-10-09 14:54:08,046 p=12382 u=student n=ansible | fatal: [master-01]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-09 14:54:08,046 p=12382 u=student n=ansible | ...ignoring
2020-10-09 14:54:08,206 p=12382 u=student n=ansible | fatal: [master-02]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-09 14:54:08,206 p=12382 u=student n=ansible | ...ignoring
2020-10-09 14:54:08,318 p=12382 u=student n=ansible | fatal: [master-03]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-09 14:54:08,318 p=12382 u=student n=ansible | ...ignoring
2020-10-09 14:54:09,027 p=12382 u=student n=ansible |  __________________________________
< TASK [kubeadmteardown : command] >
 ----------------------------------
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||


2020-10-09 14:54:09,029 p=12382 u=student n=ansible | [WARNING]: Consider using the file module with state=absent rather than running 'rm'.  If
you need to use command because file is insufficient you can add 'warn: false' to this
command task or set 'command_warnings=False' in ansible.cfg to get rid of this message.

2020-10-09 14:54:09,029 p=12382 u=student n=ansible | changed: [bchd]
2020-10-09 14:54:09,074 p=12382 u=student n=ansible | changed: [node-01]
2020-10-09 14:54:09,174 p=12382 u=student n=ansible | changed: [node-03]
2020-10-09 14:54:09,225 p=12382 u=student n=ansible | changed: [master-01]
2020-10-09 14:54:09,259 p=12382 u=student n=ansible | changed: [node-02]
2020-10-09 14:54:09,602 p=12382 u=student n=ansible | changed: [master-02]
2020-10-09 14:54:09,654 p=12382 u=student n=ansible | changed: [master-03]
2020-10-09 14:54:11,470 p=12382 u=student n=ansible |  _______________________________
< TASK [kubeadm1.18 : template] >
 -------------------------------
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||


2020-10-09 14:54:11,471 p=12382 u=student n=ansible | changed: [master-02]
2020-10-09 14:55:20,894 p=12382 u=student n=ansible |  ___________________________________________
< TASK [kubeadm1.18 : install k8s pre-reqs] >
 -------------------------------------------
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||


2020-10-09 14:55:20,896 p=12382 u=student n=ansible | changed: [master-02]
2020-10-09 14:55:22,703 p=12382 u=student n=ansible |  ___________________________________
< TASK [kubeadm1.18 : Kubeadm init] >
 -----------------------------------
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||


